category,id,title,description,description2
Brazilian_telenovelas,55824667,Amor com Amor Se Paga,"Amor com Amor Se Paga is a Brazilian telenovela produced and displayed at the time of 18 hours by Rede Globo, March 19 to September 14, 1984, in 155 chapters. Substitute Voltei pra Você and be succeeded by Livre para Voar.,Written by Ivani Ribeiro, with collaboration of Solange Castro Neves, was inspired by the plot Camomila e bem-me-quer, and was directed by Gonzaga Blota, Atílio Riccó and Jayme Monjardim.,It was one of the most seen novels of the time of the 18 hours of the Globo. Decades after the first showing of the novel, Ary Fontoura claims to be still called his Nonô on the street, because of the great success of the plot.",
Brazilian_telenovelas,63931913,Amor de Mãe,"Amor de Mãe (English: A Mother's Love) is a Brazilian telenovela produced and broadcast by Rede Globo. It premiered on 25 November 2019, replacing A Dona do Pedaço. The series is written by Manuela Dias, with the collaboration of Mariana Mesquita, Roberto Vitorino and Walter Daguerre.It stars Regina Casé, Adriana Esteves and Taís Araújo as three woman from different social classes who live the dilemmas as mothers. Isis Valverde, Humberto Carrão, Chay Suede, Irandhir Santos, Juliano Cazarré, Arieta Corrêa, Vladimir Brichta and Murilo Benício also star in main roles.As from March 2020, the telenovela went on an indefinite hiatus after production was shut down due to the COVID-19 pandemic in Brazil. As of 21 March 2020, 102 episodes of Amor de Mãe have aired. Filming resumed on 10 August 2020, with new episodes returning on 15 March 2021.",
Brazilian_telenovelas,33141423,Amor de Perdição (TV series),Amor de Perdição is a Brazilian telenovela that first aired on TV Cultura in 1965. It is based on the novel of the same name by Portuguese writer Camilo Castelo Branco.,
Brazilian_telenovelas,35315727,Amor e Revolução,Amor e Revolução (English title: Love and Revolution;) is a Brazilian telenovela that first aired on SBT in 2011. Written by Tiago Santiago text cooperation with Renata Dias Gomes and Miguel Paiva and directed by Reynaldo Boury.,
Brazilian_telenovelas,56173346,O Amor Está no Ar,"O Amor Está no Ar is a Brazilian telenovela produced and televised by Rede Globo, March 31 to September 6, 1997 in 137 chapters.",
Brazilian_telenovelas,35501664,Amor Eterno Amor,"Amor Eterno Amor (Love, Eternal Love) is a Brazilian telenovela produced by Rede Globo and exhibited in the schedule of 18 hours. Written by Elizabeth Jhin and directed by Roberta Richards, Fábio Strazzer, Luciana Oliveira Paulo Ghelli, Pedro Vasconcelos and Rogério Gomes, it was released on March 5, 2012, ending on September, 7 of the same year, replacing A Vida da Gente.,,",
Brazilian_telenovelas,63960306,Amor sem Igual,"Amor sem Igual (English title: Ultimate Love) is a Brazilian telenovela produced by RecordTV and Casablanca that premiered on 10 December 2019 and ended on 18 January 2021. The series is written by Cristianne Fridman and directed by Rudi Lagemann. It stars Day Mesquita, Rafael Sardão, Thiago Rodrigues, Juan Alba, Sthefany Brito, Heitor Martinez, Gabriel Gracindo and Barbara França in the main roles.",
Brazilian_telenovelas,50825011,Anastácia, a Mulher sem Destino,"Anastácia, a Mulher sem Destino is a Brazilian telenovela produced and broadcast by Rede Globo. It premiered on 28 June 1967 and ended on 16 December 1967. It's the fourth 'novela das oito' to be aired on the timeslot."
Brazilian_telenovelas,42585682,Andando nas Nuvens,"Andando nas Nuvens (English: Walking on Clouds) is a Brazilian telenovela produced and broadcast by Rede Globo originally ran from March 22 to November 5, 1999, for 197 episodes.",
Brazilian_telenovelas,56120375,Anjo de Mim,"Anjo de Mim is a Brazilian telenovela produced and broadcast at the time of 18 hours by Rede Globo, September 9, 1996 to March 28, 1997 in 173 chapters (episodes).Written by Walther Negrão, with collaboration of Elizabeth Jhin, Ângela Carneiro and Vinícius Vianna, counted on the direction of Ary Coslov, Roberto Naar, Edson Spinello and Alexandre Avancini and general direction and nucleus of Ricardo Waddington.,It counted with Tony Ramos, Helena Ranaldi, Herson Capri, Vivianne Pasmanter, Elias Gleizer, Paloma Duarte, Márcio Garcia, Françoise Forton, Milton Gonçalves, Cláudia Alencar, Otávio Augusto, Tássia Camargo and Carolina Kasting in the main roles.",
